id,resourceType,organizationName,phone,website,email,address,city,state,zipCode,latitude,longitude,servicesJson,hours,is24_7,servesLGBTQIA,lgbtqSpecialized,transInclusive,nonBinaryInclusive,servesBIPOC,bipocLed,culturallySpecificJson,servesMaleIdentifying,servesUndocumented,uVisaSupport,vawaSupport,noICEContact,servesDisabled,wheelchairAccessible,servesDeaf,aslInterpreter,languagesJson,isFree,slidingScale,acceptsChildren,childAgeRestrictions,acceptsDependentAdults,acceptsPets,hasChildcare,servesPregnant,servesSubstanceUse,servesTeenDating,servesElderAbuse,servesTrafficking,servesTBI,acceptsCriminalRecord,hasMedicalSupport,hasMentalHealthCounseling,traumaInformedCare,providesTransportation,transportationRadius,transportationPartnerships,offersVirtualServices,gasVoucherProgram,relocationAssistance,greyhoundHomeFreePartner,providesReproductiveHealthcare,reproductiveHealthcareServicesJson,acceptsOutOfStatePatients,providesRecoveryHousing,recoveryHousingDuration,financialAssistanceAvailable,travelFundingAvailable,childcareDuringAppointment,childcareDuringRecovery,accompanimentServices,lastVerified,verifiedBy,rating,reviewCount
SH001,shelter,Rainbow House LGBTQ+ Shelter,555-123-4001,www.rainbowhouse.org,help@rainbowhouse.org,123 Pride Street,San Francisco,CA,94102,37.7749,-122.4194,"[Emergency Shelter,Counseling,Legal Advocacy,Job Training]",Mon-Sun 24/7,1,1,1,1,1,1,1,"[LGBTQ+,Trans]",1,1,1,1,1,1,1,1,1,"[English,Spanish,Tagalog]",1,0,1,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,[],0,0,0,0,0,,0,0,,0,0,0,0,0,1704067200,SafeHaven,4.8,156
SH002,legal_aid,Transgender Law Center,555-123-4002,www.transgenderlawcenter.org,legal@transgenderlawcenter.org,1629 Telegraph Ave,Oakland,CA,94612,37.8044,-122.2712,"[Legal Advocacy,Immigration Support,Name Change,Healthcare Access]",Mon-Fri 9am-5pm,0,1,1,1,1,1,0,[Trans],0,1,1,1,1,0,1,0,0,"[English,Spanish]",1,0,1,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,[],0,0,0,0,0,,0,0,,0,0,0,0,0,1704067200,SafeHaven,4.9,243
SH003,hotline,National Domestic Violence Hotline,800-799-7233,www.thehotline.org,N/A,N/A,Austin,TX,78701,30.2672,-97.7431,"[Crisis Hotline,Safety Planning,Resource Referrals]",24/7 Hotline,1,1,0,1,1,1,0,[],1,1,0,0,0,1,0,1,0,"[English,Spanish,200+ via translation]",1,0,1,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,[],0,0,0,0,0,,0,0,,0,0,0,0,0,1704067200,National,5.0,15789
SH004,shelter,Casa de Esperanza,555-234-5001,www.casadeesperanza.org,info@casadeesperanza.org,P.O. Box 75177,St. Paul,MN,55175,44.9537,-93.0900,"[Emergency Shelter,Transitional Housing,Legal Advocacy,Counseling]",Mon-Sun 24/7,1,1,0,0,0,1,1,"[Latina,Indigenous]",0,1,0,0,1,1,1,0,0,"[Spanish,English,K'iche']",1,0,1,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,[],0,0,0,0,0,,0,0,,0,0,0,0,0,1704067200,SafeHaven,4.7,89
SH005,shelter,Men's Safe Haven,555-345-6001,www.menssafehaven.org,help@menssafehaven.org,456 Support Lane,Portland,OR,97201,45.5152,-122.6784,"[Emergency Shelter,Counseling,Support Groups]",Mon-Sun 24/7,1,1,0,0,0,0,0,[],1,0,0,0,0,1,1,0,0,[English],1,0,1,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,[],0,0,0,0,0,,0,0,,0,0,0,0,0,1704067200,SafeHaven,4.6,34
SH006,legal_aid,Undocumented Survivors Legal Aid,555-456-7001,www.undocsurvivors.org,legal@undocsurvivors.org,789 Justice Blvd,Los Angeles,CA,90012,34.0522,-118.2437,"[U-Visa Support,VAWA Petitions,Legal Advocacy,Immigration Support]",Mon-Fri 9am-6pm,0,0,0,0,0,1,1,"[Latinx,Asian]",0,1,1,1,1,0,0,0,0,"[Spanish,English,Mandarin,Vietnamese]",1,0,1,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,[],0,0,0,0,0,,0,0,,0,0,0,0,0,1704067200,SafeHaven,4.9,178
SH007,counseling,Black Women's Blueprint,555-567-8001,www.blackwomensblueprint.org,support@bwb.org,271 W 125th St,New York,NY,10027,40.8075,-73.9533,"[Trauma Counseling,Support Groups,Advocacy,Community Education]",Mon-Fri 10am-6pm,0,0,0,0,0,1,1,"[Black,African American]",0,0,0,0,0,1,1,0,0,[English],1,1,1,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,[],0,0,0,0,0,,0,0,,0,0,0,0,0,1704067200,SafeHaven,4.8,167
SH008,shelter,Deaf Hope,555-678-9001,www.deafhope.org,vp@deafhope.org,N/A,Oakland,CA,94612,37.8044,-122.2712,"[Emergency Shelter,Advocacy,ASL Interpretation,Legal Support]",Mon-Sun 24/7,1,1,0,0,0,0,0,[],0,0,0,0,0,1,0,1,1,"[ASL,English]",1,0,1,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,[],0,0,0,0,0,,0,0,,0,0,0,0,0,1704067200,SafeHaven,4.9,92
SH009,hotline,FORGE Trans Hotline,414-559-2123,www.forge-forward.org,info@forge-forward.org,N/A,Milwaukee,WI,53202,43.0389,-87.9065,"[Crisis Support,Resource Referrals,Trans-specific Advocacy]",Mon-Fri 10am-4pm CST,0,1,1,1,1,0,0,[Trans],0,0,0,0,0,0,0,0,0,[English],1,0,1,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,[],0,0,0,0,0,,0,0,,0,0,0,0,0,1704067200,SafeHaven,4.7,234
SH010,shelter,Safe Horizon,555-789-0001,www.safehorizon.org,info@safehorizon.org,2 Lafayette St,New York,NY,10007,40.7143,-74.0060,"[Emergency Shelter,Legal Services,Counseling,Children Services]",24/7 Hotline,1,1,0,1,0,1,0,[Multi-cultural],0,1,0,0,0,1,1,0,0,"[English,Spanish,Chinese,Russian]",1,0,1,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,[],0,0,0,0,0,,0,0,,0,0,0,0,0,1704067200,SafeHaven,4.8,567
