resourceId,organizationName,resourceType,description,phone,email,website,address,latitude,longitude,servesLGBTQIA,lgbtqSpecialized,transInclusive,nonBinaryInclusive,servesBIPOC,bipocLed,servesUndocumented,uVisaSupport,vawaSupport,noICEContact,servesMaleIdentifying,servesDisabled,wheelchairAccessible,servesDeaf,aslInterpreter,isFree,slidingScale,is24_7,languagesSupported
1,National Domestic Violence Hotline,hotline,"24/7 confidential crisis support for domestic violence survivors and their loved ones",800-799-7233,info@thehotline.org,https://www.thehotline.org,,40.7128,-74.0060,true,false,true,true,true,false,true,false,false,true,true,true,false,true,false,true,false,true,"English;Spanish;ASL"
2,The Trevor Project,hotline,"24/7 suicide prevention and crisis intervention for LGBTQ+ young people",866-488-7386,help@thetrevorproject.org,https://www.thetrevorproject.org,"PO Box 69232, West Hollywood, CA 90069",34.0900,-118.3617,true,true,true,true,true,false,false,false,false,true,false,false,false,false,false,true,false,true,"English;Spanish"
3,RAINN National Sexual Assault Hotline,hotline,"24/7 support for sexual assault survivors",800-656-4673,info@rainn.org,https://www.rainn.org,"1220 L St NW Suite 505, Washington, DC 20005",38.9072,-77.0369,true,false,true,true,true,false,true,false,false,true,true,true,false,true,false,true,false,true,"English;Spanish"
4,LGBT National Help Center,hotline,"Peer support for LGBTQ+ community members",888-843-4564,info@lgbthotline.org,https://www.lgbthotline.org,,37.7749,-122.4194,true,true,true,true,true,false,false,false,false,true,false,false,false,false,false,true,false,false,"English"
5,Trans Lifeline,hotline,"Trans peer support hotline staffed by trans people",877-565-8860,info@translifeline.org,https://www.translifeline.org,,37.7749,-122.4194,true,true,true,true,true,false,false,false,false,true,false,false,false,false,false,true,false,false,"English;Spanish"
6,National Center on Domestic Violence Trauma & Mental Health,hotline,"Specialized trauma support for DV survivors",312-726-7020,info@nationalcenterdvtraumamh.org,https://www.nationalcenterdvtraumamh.org,"77 W Washington St Suite 1610, Chicago, IL 60602",41.8781,-87.6298,true,false,true,true,true,true,true,false,false,true,true,true,false,true,false,true,true,false,"English;Spanish"
7,National Suicide Prevention Lifeline,hotline,"24/7 suicide prevention support",988,contact@988lifeline.org,https://988lifeline.org,,40.7128,-74.0060,true,false,true,true,true,false,true,false,false,true,true,true,false,true,true,true,false,true,"English;Spanish;ASL"
8,StrongHearts Native Helpline,hotline,"Culturally-specific DV support for Native Americans",844-762-8483,info@strongheartshelpline.org,https://www.strongheartshelpline.org,,35.4676,-97.5164,true,false,false,false,true,true,false,false,false,true,true,true,false,false,false,true,false,false,"English"
9,Asian Pacific Institute on Gender-Based Violence,hotline,"Support for Asian and Pacific Islander survivors",415-568-3315,info@api-gbv.org,https://www.api-gbv.org,"942 Market St Suite 200, San Francisco, CA 94102",37.7833,-122.4167,true,false,false,false,true,true,true,false,false,true,false,false,false,false,false,true,true,false,"English;Mandarin;Vietnamese;Tagalog;Korean"
10,National Immigrant Women's Advocacy Project,legal_aid,"Immigration legal support for DV survivors",202-274-4457,niwap@wcl.american.edu,https://niwaplegal.org,"4300 Nebraska Ave NW, Washington, DC 20016",38.9397,-77.0897,true,false,false,false,true,false,true,true,true,true,false,false,false,false,false,true,false,false,"English;Spanish"
