External_ID__c,Resource_Type__c,Organization_Name__c,Phone__c,Website__c,Email__c,Address__c,City__c,State__c,Zip_Code__c,Latitude__c,Longitude__c,Is_24_7__c,Serves_LGBTQIA__c,LGBTQ_Specialized__c,Trans_Inclusive__c,Non_Binary_Inclusive__c,Serves_BIPOC__c,BIPOC_Led__c,Serves_Male_Identifying__c,Serves_Undocumented__c,U_Visa_Support__c,VAWA_Support__c,No_ICE_Contact__c,Serves_Disabled__c,Wheelchair_Accessible__c,Serves_Deaf__c,ASL_Interpreter__c,Is_Free__c,Sliding_Scale__c,Services__c,Languages_Supported__c,Culturally_Specific__c,Description__c
SH001,Shelter,Rainbow House LGBTQ+ Shelter,555-123-4001,www.rainbowhouse.org,help@rainbowhouse.org,123 Pride Street,San Francisco,CA,94102,37.7749,-122.4194,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,TRUE,TRUE,TRUE,TRUE,1,TRUE,TRUE,TRUE,1,TRUE,FALSE,"[Emergency Shelter,Counseling,Legal Advocacy,Job Training]","[English,Spanish,Tagalog]","[LGBTQ+,Trans]","Services: [Emergency Shelter,Counseling,Legal Advocacy,Job Training]"
SH002,Legal Aid,Transgender Law Center,555-123-4002,www.transgenderlawcenter.org,legal@transgenderlawcenter.org,1629 Telegraph Ave,Oakland,CA,94612,37.8044,-122.2712,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0,FALSE,TRUE,TRUE,TRUE,1,FALSE,TRUE,FALSE,0,TRUE,FALSE,"[Legal Advocacy,Immigration Support,Name Change,Healthcare Access]","[English,Spanish]",[Trans],"Services: [Legal Advocacy,Immigration Support,Name Change,Healthcare Access]"
SH003,Hotline,National Domestic Violence Hotline,800-799-7233,www.thehotline.org,,,Austin,TX,78701,30.2672,-97.7431,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,0,TRUE,TRUE,FALSE,FALSE,0,TRUE,FALSE,TRUE,0,TRUE,FALSE,"[Crisis Hotline,Safety Planning,Resource Referrals]","[English,Spanish,200+ via translation]",,"Services: [Crisis Hotline,Safety Planning,Resource Referrals]"
SH004,Shelter,Casa de Esperanza,555-234-5001,www.casadeesperanza.org,info@casadeesperanza.org,P.O. Box 75177,St. Paul,MN,55175,44.9537,-93.0900,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,1,FALSE,TRUE,FALSE,FALSE,1,TRUE,TRUE,FALSE,0,TRUE,FALSE,"[Emergency Shelter,Transitional Housing,Legal Advocacy,Counseling]","[Spanish,English,K'iche']","[Latina,Indigenous]","Services: [Emergency Shelter,Transitional Housing,Legal Advocacy,Counseling]"
SH005,Shelter,Men's Safe Haven,555-345-6001,www.menssafehaven.org,help@menssafehaven.org,456 Support Lane,Portland,OR,97201,45.5152,-122.6784,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,FALSE,0,TRUE,TRUE,FALSE,0,TRUE,FALSE,"[Emergency Shelter,Counseling,Support Groups]",[English],,"Services: [Emergency Shelter,Counseling,Support Groups]"
SH006,Legal Aid,Undocumented Survivors Legal Aid,555-456-7001,www.undocsurvivors.org,legal@undocsurvivors.org,789 Justice Blvd,Los Angeles,CA,90012,34.0522,-118.2437,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,FALSE,TRUE,TRUE,TRUE,1,FALSE,FALSE,FALSE,0,TRUE,FALSE,"[U-Visa Support,VAWA Petitions,Legal Advocacy,Immigration Support]","[Spanish,English,Mandarin,Vietnamese]","[Latinx,Asian]","Services: [U-Visa Support,VAWA Petitions,Legal Advocacy,Immigration Support]"
SH007,Counseling,Black Women's Blueprint,555-567-8001,www.blackwomensblueprint.org,support@bwb.org,271 W 125th St,New York,NY,10027,40.8075,-73.9533,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,FALSE,FALSE,FALSE,FALSE,0,TRUE,TRUE,FALSE,0,TRUE,TRUE,"[Trauma Counseling,Support Groups,Advocacy,Community Education]",[English],"[Black,African American]","Services: [Trauma Counseling,Support Groups,Advocacy,Community Education]"
SH008,Shelter,Deaf Hope,555-678-9001,www.deafhope.org,vp@deafhope.org,,Oakland,CA,94612,37.8044,-122.2712,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,TRUE,1,TRUE,FALSE,"[Emergency Shelter,Advocacy,ASL Interpretation,Legal Support]","[ASL,English]",,"Services: [Emergency Shelter,Advocacy,ASL Interpretation,Legal Support]"
SH009,Hotline,FORGE Trans Hotline,414-559-2123,www.forge-forward.org,info@forge-forward.org,,Milwaukee,WI,53202,43.0389,-87.9065,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,0,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,TRUE,FALSE,"[Crisis Support,Resource Referrals,Trans-specific Advocacy]",[English],[Trans],"Services: [Crisis Support,Resource Referrals,Trans-specific Advocacy]"
SH010,Shelter,Safe Horizon,555-789-0001,www.safehorizon.org,info@safehorizon.org,2 Lafayette St,New York,NY,10007,40.7143,-74.0060,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0,FALSE,TRUE,FALSE,FALSE,0,TRUE,TRUE,FALSE,0,TRUE,FALSE,"[Emergency Shelter,Legal Services,Counseling,Children Services]","[English,Spanish,Chinese,Russian]",[Multi-cultural],"Services: [Emergency Shelter,Legal Services,Counseling,Children Services]"
SH011,Legal Aid,Northwest Immigrant Rights Project,206-957-8611,www.nwirp.org,info@nwirp.org,615 2nd Ave,Seattle,WA,98104,47.6062,-122.3321,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,FALSE,TRUE,TRUE,TRUE,1,FALSE,TRUE,FALSE,0,TRUE,FALSE,"[Immigration Legal Services,U-Visa,VAWA,Detention Defense]","[Spanish,English,Vietnamese,Somali]","[Latinx,Asian]","Services: [Immigration Legal Services,U-Visa,VAWA,Detention Defense]"
SH012,Counseling,API Chaya,206-325-0325,www.apichaya.org,info@apichaya.org,P.O. Box 14047,Seattle,WA,98114,47.6062,-122.3321,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1,FALSE,TRUE,TRUE,TRUE,1,TRUE,TRUE,FALSE,0,TRUE,TRUE,"[Counseling,Support Groups,Legal Advocacy,Youth Services]","[English,Hindi,Punjabi,Tagalog,Vietnamese]","[South Asian,East Asian,Southeast Asian]","Services: [Counseling,Support Groups,Legal Advocacy,Youth Services]"
SH013,Shelter,The Network/La Red,617-742-4911,www.tnlr.org,info@tnlr.org,P.O. Box 6011,Boston,MA,02114,42.3601,-71.0589,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,FALSE,FALSE,FALSE,FALSE,0,TRUE,TRUE,FALSE,0,TRUE,FALSE,"[Emergency Shelter,Advocacy,Counseling,Support Groups]","[English,Spanish]",[LGBTQ+],"Services: [Emergency Shelter,Advocacy,Counseling,Support Groups]"
SH014,Legal Aid,Asian Pacific Islander Legal Outreach,415-567-6255,www.apilegaloutreach.org,info@apilegaloutreach.org,1188 Franklin St,San Francisco,CA,94109,37.7886,-122.4220,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,FALSE,TRUE,TRUE,TRUE,1,FALSE,TRUE,FALSE,0,TRUE,FALSE,"[Legal Services,Immigration,Domestic Violence,Language Access]","[English,Chinese,Vietnamese,Tagalog]","[Asian,Pacific Islander]","Services: [Legal Services,Immigration,Domestic Violence,Language Access]"
SH015,Shelter,My Sister's Place,202-529-5991,www.mosac.org,info@mosac.org,P.O. Box 29596,Washington,DC,20017,38.9072,-77.0369,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,FALSE,FALSE,FALSE,FALSE,0,TRUE,TRUE,FALSE,0,TRUE,FALSE,"[Emergency Shelter,Transitional Housing,Legal Advocacy,Economic Empowerment]",[English],"[Black,African American]","Services: [Emergency Shelter,Transitional Housing,Legal Advocacy,Economic Empowerment]"
SH016,Hotline,StrongHearts Native Helpline,844-762-8483,www.strongheartshelpline.org,,,Rapid City,SD,57701,44.0805,-103.2310,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,TRUE,FALSE,"[Crisis Support,Safety Planning,Cultural Advocacy,Resource Referrals]",[English],"[Native American,Alaska Native]","Services: [Crisis Support,Safety Planning,Cultural Advocacy,Resource Referrals]"
SH017,Shelter,Freedom House,555-890-1001,www.freedomhousedv.org,intake@freedomhouse.org,789 Liberty Road,Chicago,IL,60601,41.8781,-87.6298,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0,FALSE,TRUE,FALSE,TRUE,1,TRUE,TRUE,FALSE,0,TRUE,FALSE,"[Emergency Shelter,Counseling,Legal Services,Children Programs]","[English,Spanish,Polish]",[Multi-cultural],"Services: [Emergency Shelter,Counseling,Legal Services,Children Programs]"
SH018,Legal Aid,Disability Rights Advocates,510-451-8644,www.dralegal.org,intake@dralegal.org,2001 Center St,Berkeley,CA,94704,37.8715,-122.2730,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,0,TRUE,TRUE,TRUE,0,TRUE,FALSE,"[Legal Advocacy,Accessibility Rights,DV Accommodations]","[English,Spanish]",,"Services: [Legal Advocacy,Accessibility Rights,DV Accommodations]"
SH019,Counseling,Sojourner House,401-658-3328,www.sojournerri.org,info@sojournerri.org,386 Smith St,Providence,RI,02908,41.8240,-71.4128,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0,FALSE,TRUE,FALSE,FALSE,0,TRUE,TRUE,FALSE,0,TRUE,TRUE,"[Counseling,Support Groups,Legal Advocacy,Children Services]","[English,Spanish,Portuguese]",[Multi-cultural],"Services: [Counseling,Support Groups,Legal Advocacy,Children Services]"
SH020,Shelter,Trans Lifeline Safe Housing Network,877-565-8860,www.translifeline.org,,,Oakland,CA,94612,37.8044,-122.2712,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,0,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,TRUE,FALSE,"[Emergency Housing,Peer Support,Microgrants,Resource Navigation]","[English,Spanish]",[Trans],"Services: [Emergency Housing,Peer Support,Microgrants,Resource Navigation]"
SH021,Shelter,YWCA Greater Los Angeles,323-692-3281,www.ywcagla.org,info@ywcagla.org,1020 S Olive St,Los Angeles,CA,90015,34.0426,-118.2571,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,1,FALSE,TRUE,FALSE,FALSE,0,TRUE,TRUE,FALSE,0,TRUE,FALSE,"[Emergency Shelter,Transitional Housing,Economic Empowerment,Childcare]","[English,Spanish]","[Black,Latina]","Services: [Emergency Shelter,Transitional Housing,Economic Empowerment,Childcare]"
SH022,Legal Aid,Tahirih Justice Center,571-282-6161,www.tahirih.org,intake@tahirih.org,6402 Arlington Blvd,Falls Church,VA,22042,38.8699,-77.1479,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,FALSE,TRUE,TRUE,TRUE,1,FALSE,TRUE,FALSE,0,TRUE,FALSE,"[Immigration Legal Services,Forced Marriage,FGM/C,Honor Violence]","[English,Spanish,Arabic,Farsi]","[Middle Eastern,South Asian,African]","Services: [Immigration Legal Services,Forced Marriage,FGM/C,Honor Violence]"
SH023,Hotline,Love Is Respect,866-331-9474,www.loveisrespect.org,,,Austin,TX,78701,30.2672,-97.7431,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,TRUE,FALSE,"[Teen Dating Violence Support,Text/Chat Support,Safety Planning]","[English,Spanish]",,"Services: [Teen Dating Violence Support,Text/Chat Support,Safety Planning]"
SH024,Shelter,Asha for Women,414-252-0075,www.ashafamily.org,info@ashafamily.org,P.O. Box 170084,Milwaukee,WI,53217,43.0896,-87.9498,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,FALSE,TRUE,FALSE,FALSE,0,FALSE,TRUE,FALSE,0,TRUE,FALSE,"[Emergency Shelter,Counseling,Legal Advocacy,Cultural Support]","[English,Hindi,Urdu,Gujarati]",[South Asian],"Services: [Emergency Shelter,Counseling,Legal Advocacy,Cultural Support]"
SH025,Counseling,The Los Angeles LGBT Center,323-993-7400,www.lalgbtcenter.org,info@lalgbtcenter.org,1625 N Schrader Blvd,Los Angeles,CA,90028,34.0984,-118.3291,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,0,FALSE,FALSE,FALSE,FALSE,0,TRUE,TRUE,FALSE,0,TRUE,TRUE,"[Counseling,Youth Services,Senior Services,Trans Wellness Center]","[English,Spanish]",[LGBTQ+],"Services: [Counseling,Youth Services,Senior Services,Trans Wellness Center]"
SH026,Legal Aid,National Center for Lesbian Rights,415-392-6257,www.nclrights.org,info@nclrights.org,870 Market St,San Francisco,CA,94102,37.7843,-122.4059,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,0,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,TRUE,FALSE,"[Legal Advocacy,Family Law,Immigration,Policy Work]","[English,Spanish]",[LGBTQ+],"Services: [Legal Advocacy,Family Law,Immigration,Policy Work]"
SH027,Shelter,Raksha,404-870-7225,www.raksha.org,info@raksha.org,P.O. Box 371,Decatur,GA,30031,33.7748,-84.2963,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,FALSE,TRUE,FALSE,FALSE,0,TRUE,TRUE,FALSE,0,TRUE,FALSE,"[Emergency Shelter,Counseling,Legal Advocacy,Youth Programs]","[English,Hindi,Gujarati,Tamil]",[South Asian],"Services: [Emergency Shelter,Counseling,Legal Advocacy,Youth Programs]"
SH028,Hotline,VictimConnect Resource Center,855-484-2846,www.victimconnect.org,,,Washington,DC,20005,38.9072,-77.0369,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0,TRUE,TRUE,FALSE,FALSE,0,TRUE,FALSE,TRUE,0,TRUE,FALSE,"[Crisis Support,Resource Referrals,Information]","[English,Spanish,200+ via translation]",,"Services: [Crisis Support,Resource Referrals,Information]"
SH029,Shelter,Safe Place for Youth,310-902-2283,www.safeplaceforyouth.org,info@safeplaceforyouth.org,2469 Lincoln Blvd,Venice,CA,90291,33.9993,-118.4668,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,FALSE,FALSE,FALSE,FALSE,0,TRUE,TRUE,FALSE,0,TRUE,FALSE,"[Youth Emergency Shelter,Drop-in Center,Job Training,Housing Support]","[English,Spanish]",[Youth],"Services: [Youth Emergency Shelter,Drop-in Center,Job Training,Housing Support]"
SH030,Legal Aid,Northwest Justice Project,888-201-1014,www.nwjustice.org,intake@nwjustice.org,401 2nd Ave S,Seattle,WA,98104,47.6021,-122.3321,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0,FALSE,TRUE,TRUE,TRUE,0,TRUE,TRUE,FALSE,0,TRUE,FALSE,"[Legal Aid,Protection Orders,Family Law,Immigration]","[English,Spanish,Russian,Vietnamese]",,"Services: [Legal Aid,Protection Orders,Family Law,Immigration]"
SH031,Counseling,The ManKind Project,301-652-2732,www.mkp.org,info@mkp.org,,Kensington,MD,20895,39.0262,-77.0764,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,TRUE,"[Men's Support Groups,Emotional Healing,Accountability Work]",[English],,"Services: [Men's Support Groups,Emotional Healing,Accountability Work]"
